case_id,domain,act,section,court,facts,issues,arguments,analysis,ratio,decision,label
CASE0023,Cheque Bounce,Negotiable Instruments Act,138,Karnataka High Court,A statutory notice was served upon the accused. The accused issued a cheque towards repayment of debt. The cheque was dishonoured due to insufficient funds.,Whether Section 138 NI Act is attracted.,Complainant proved legally enforceable debt.,Court examined bank memo and statutory notice.,Dishonour of cheque constitutes offence under NI Act if statutory conditions are satisfied.,Acquittal,0
CASE0024,Motor Accident,Motor Vehicles Act,166,Karnataka High Court,Road accident caused bodily injuries. Insurance policy was valid.,Quantum of compensation.,Claimant relied upon medical records.,Tribunal assessed disability percentage.,Compensation should be just and reasonable.,Claim Rejected,0
CASE0025,Cyber Crime,Information Technology Act,66,Karnataka High Court,Victim suffered financial loss. Unauthorized access to computer resources.,Applicability of Information Technology Act.,Digital evidence linked accused.,Court examined electronic evidence.,Electronic evidence must satisfy admissibility requirements.,Conviction,1
CASE0026,Cheque Bounce,Negotiable Instruments Act,138,Madras High Court,A statutory notice was served upon the accused. The accused issued a cheque towards repayment of debt. The cheque was dishonoured due to insufficient funds.,Whether Section 138 NI Act is attracted.,Complainant proved legally enforceable debt.,Court verified limitation period.,Dishonour of cheque constitutes offence under NI Act if statutory conditions are satisfied.,Conviction,1
CASE0027,Murder,Indian Penal Code,302,Supreme Court,Accused allegedly caused death using a deadly weapon. Medical evidence supported prosecution. Eyewitness testimony was produced.,Whether ingredients of Section 302 IPC are established.,Defence questioned credibility.,Court evaluated motive and forensic evidence.,Prosecution must establish guilt beyond reasonable doubt.,Conviction,1
CASE0028,Murder,Indian Penal Code,302,Supreme Court,Eyewitness testimony was produced. Medical evidence supported prosecution. Accused allegedly caused death using a deadly weapon.,Whether ingredients of Section 302 IPC are established.,Defence questioned credibility.,Court evaluated motive and forensic evidence.,Prosecution must establish guilt beyond reasonable doubt.,Acquittal,0
CASE0029,Consumer,Consumer Protection Act,35,Delhi High Court,Seller failed to provide replacement. Consumer purchased defective goods.,Whether deficiency in service exists.,Consumer sought compensation.,Commission reviewed invoices and expert reports.,Consumer entitled to compensation for proven deficiency.,Compensation Awarded,1
CASE0030,Murder,Indian Penal Code,302,Bombay High Court,Medical evidence supported prosecution. Eyewitness testimony was produced. Accused allegedly caused death using a deadly weapon.,Whether ingredients of Section 302 IPC are established.,Prosecution relied upon eyewitnesses.,Court evaluated motive and forensic evidence.,Prosecution must establish guilt beyond reasonable doubt.,Acquittal,0
CASE0031,Consumer,Consumer Protection Act,35,Karnataka High Court,Seller failed to provide replacement. Consumer purchased defective goods.,Whether deficiency in service exists.,Consumer sought compensation.,Commission reviewed invoices and expert reports.,Consumer entitled to compensation for proven deficiency.,Compensation Awarded,1
CASE0032,Cheque Bounce,Negotiable Instruments Act,138,Madras High Court,The accused issued a cheque towards repayment of debt. The cheque was dishonoured due to insufficient funds. A statutory notice was served upon the accused.,Whether Section 138 NI Act is attracted.,Accused denied liability.,Court examined bank memo and statutory notice.,Dishonour of cheque constitutes offence under NI Act if statutory conditions are satisfied.,Acquittal,0
CASE0033,Cyber Crime,Information Technology Act,66,Supreme Court,Unauthorized access to computer resources. Victim suffered financial loss.,Applicability of Information Technology Act.,Digital evidence linked accused.,Court examined electronic evidence.,Electronic evidence must satisfy admissibility requirements.,Conviction,1
CASE0034,Cyber Crime,Information Technology Act,66,Bombay High Court,Victim suffered financial loss. Unauthorized access to computer resources.,Applicability of Information Technology Act.,Digital evidence linked accused.,Court examined electronic evidence.,Electronic evidence must satisfy admissibility requirements.,Conviction,1
CASE0035,Cyber Crime,Information Technology Act,66,Madras High Court,Unauthorized access to computer resources. Victim suffered financial loss.,Applicability of Information Technology Act.,Digital evidence linked accused.,Court examined electronic evidence.,Electronic evidence must satisfy admissibility requirements.,Conviction,1
CASE0036,Cyber Crime,Information Technology Act,66,Bombay High Court,Unauthorized access to computer resources. Victim suffered financial loss.,Applicability of Information Technology Act.,Defence challenged authenticity.,Court examined electronic evidence.,Electronic evidence must satisfy admissibility requirements.,Conviction,1
CASE0037,Consumer,Consumer Protection Act,35,Karnataka High Court,Consumer purchased defective goods. Seller failed to provide replacement.,Whether deficiency in service exists.,Seller denied manufacturing defect.,Commission reviewed invoices and expert reports.,Consumer entitled to compensation for proven deficiency.,Compensation Awarded,1
CASE0038,Cheque Bounce,Negotiable Instruments Act,138,Karnataka High Court,The accused issued a cheque towards repayment of debt. The cheque was dishonoured due to insufficient funds. A statutory notice was served upon the accused.,Whether Section 138 NI Act is attracted.,Accused denied liability.,Court verified limitation period.,Dishonour of cheque constitutes offence under NI Act if statutory conditions are satisfied.,Conviction,1
CASE0039,Consumer,Consumer Protection Act,35,Supreme Court,Consumer purchased defective goods. Seller failed to provide replacement.,Whether deficiency in service exists.,Seller denied manufacturing defect.,Commission reviewed invoices and expert reports.,Consumer entitled to compensation for proven deficiency.,Complaint Dismissed,0
CASE0040,Murder,Indian Penal Code,302,Karnataka High Court,Medical evidence supported prosecution. Eyewitness testimony was produced. Accused allegedly caused death using a deadly weapon.,Whether ingredients of Section 302 IPC are established.,Defence questioned credibility.,Court evaluated motive and forensic evidence.,Prosecution must establish guilt beyond reasonable doubt.,Conviction,1
CASE0041,Cheque Bounce,Negotiable Instruments Act,138,Madras High Court,The cheque was dishonoured due to insufficient funds. A statutory notice was served upon the accused. The accused issued a cheque towards repayment of debt.,Whether legal notice requirements were fulfilled.,Complainant proved legally enforceable debt.,Court verified limitation period.,Dishonour of cheque constitutes offence under NI Act if statutory conditions are satisfied.,Acquittal,0
CASE0042,Cheque Bounce,Negotiable Instruments Act,138,Karnataka High Court,The accused issued a cheque towards repayment of debt. A statutory notice was served upon the accused. The cheque was dishonoured due to insufficient funds.,Whether legal notice requirements were fulfilled.,Complainant proved legally enforceable debt.,Court verified limitation period.,Dishonour of cheque constitutes offence under NI Act if statutory conditions are satisfied.,Conviction,1
CASE0043,Cyber Crime,Information Technology Act,66,Madras High Court,Victim suffered financial loss. Unauthorized access to computer resources.,Applicability of Information Technology Act.,Defence challenged authenticity.,Court examined electronic evidence.,Electronic evidence must satisfy admissibility requirements.,Conviction,1
CASE0044,Motor Accident,Motor Vehicles Act,166,Karnataka High Court,Road accident caused bodily injuries. Insurance policy was valid.,Quantum of compensation.,Claimant relied upon medical records.,Tribunal assessed disability percentage.,Compensation should be just and reasonable.,Compensation Granted,1
CASE0045,Motor Accident,Motor Vehicles Act,166,Madras High Court,Insurance policy was valid. Road accident caused bodily injuries.,Quantum of compensation.,Insurance company disputed negligence.,Tribunal assessed disability percentage.,Compensation should be just and reasonable.,Compensation Granted,1
CASE0046,Cheque Bounce,Negotiable Instruments Act,138,Delhi High Court,A statutory notice was served upon the accused. The cheque was dishonoured due to insufficient funds. The accused issued a cheque towards repayment of debt.,Whether Section 138 NI Act is attracted.,Accused denied liability.,Court examined bank memo and statutory notice.,Dishonour of cheque constitutes offence under NI Act if statutory conditions are satisfied.,Conviction,1
CASE0047,Cheque Bounce,Negotiable Instruments Act,138,Supreme Court,The accused issued a cheque towards repayment of debt. The cheque was dishonoured due to insufficient funds. A statutory notice was served upon the accused.,Whether legal notice requirements were fulfilled.,Accused denied liability.,Court examined bank memo and statutory notice.,Dishonour of cheque constitutes offence under NI Act if statutory conditions are satisfied.,Acquittal,0
CASE0048,Motor Accident,Motor Vehicles Act,166,Bombay High Court,Road accident caused bodily injuries. Insurance policy was valid.,Quantum of compensation.,Insurance company disputed negligence.,Tribunal assessed disability percentage.,Compensation should be just and reasonable.,Claim Rejected,0
CASE0049,Cheque Bounce,Negotiable Instruments Act,138,Madras High Court,The accused issued a cheque towards repayment of debt. A statutory notice was served upon the accused. The cheque was dishonoured due to insufficient funds.,Whether Section 138 NI Act is attracted.,Accused denied liability.,Court verified limitation period.,Dishonour of cheque constitutes offence under NI Act if statutory conditions are satisfied.,Acquittal,0
CASE0050,Murder,Indian Penal Code,302,Karnataka High Court,Accused allegedly caused death using a deadly weapon. Eyewitness testimony was produced. Medical evidence supported prosecution.,Whether ingredients of Section 302 IPC are established.,Prosecution relied upon eyewitnesses.,Court evaluated motive and forensic evidence.,Prosecution must establish guilt beyond reasonable doubt.,Conviction,1
